text,label,clean_text
"Absolutely wonderful, five stars. :)",positive,absolutely wonderful five stars
Awful product. Do not buy!,negative,awful product do not buy!
"One star, extremely poor quality.",negative,one star extremely poor quality
"Absolutely wonderful, five stars. http://example.com",positive,absolutely wonderful five stars
"Best experience ever, highly recommend to everyone.",positive,best experience ever highly recommend to everyone
"Best experience ever, highly recommend to everyone.",positive,best experience ever highly recommend to everyone
Check this out Works as described.,neutral,check this out works as described
"Check this out Terrible service, very disappointed.",negative,check this out terrible service very disappointed
"Check this out Really bad experience, will never come back.",negative,check this out really bad experience will never come back
So satisfied! Exceeded my expectations.,positive,so satisfied! exceeded my expectations
Amazing service — I'm very happy with my purchase.,positive,amazing service im very happy with my purchase
"Really bad experience, will never come back. :)",negative,really bad experience will never come back
"Absolutely wonderful, five stars.",positive,absolutely wonderful five stars
"Check this out Absolutely wonderful, five stars.",positive,check this out absolutely wonderful five stars
"Check this out Really bad experience, will never come back.",negative,check this out really bad experience will never come back
Check this out Awful product. Do not buy!,negative,check this out awful product do not buy!
"I love the new product, it's fantastic and works great!",positive,i love the new product its fantastic and works great!
"Absolutely wonderful, five stars.",positive,absolutely wonderful five stars
"One star, extremely poor quality.",negative,one star extremely poor quality
"Best experience ever, highly recommend to everyone. http://example.com",positive,best experience ever highly recommend to everyone
"I love the new product, it's fantastic and works great!",positive,i love the new product its fantastic and works great!
"Absolutely wonderful, five stars.",positive,absolutely wonderful five stars
Awful product. Do not buy! :),negative,awful product do not buy!
"Really bad experience, will never come back.",negative,really bad experience will never come back
"Terrible service, very disappointed. :)",negative,terrible service very disappointed
"Best experience ever, highly recommend to everyone.",positive,best experience ever highly recommend to everyone
"Best experience ever, highly recommend to everyone.",positive,best experience ever highly recommend to everyone
"Best experience ever, highly recommend to everyone.",positive,best experience ever highly recommend to everyone
"I love the new product, it's fantastic and works great!",positive,i love the new product its fantastic and works great!
"Check this out One star, extremely poor quality.",negative,check this out one star extremely poor quality
"One star, extremely poor quality.",negative,one star extremely poor quality
"Terrible service, very disappointed.",negative,terrible service very disappointed
Awful product. Do not buy!,negative,awful product do not buy!
Product is fine for the price.,neutral,product is fine for the price
"One star, extremely poor quality.",negative,one star extremely poor quality
Check this out Awful product. Do not buy!,negative,check this out awful product do not buy!
Amazing service — I'm very happy with my purchase.,positive,amazing service im very happy with my purchase
Amazing service — I'm very happy with my purchase.,positive,amazing service im very happy with my purchase
"Really bad experience, will never come back.",negative,really bad experience will never come back
Awful product. Do not buy! :),negative,awful product do not buy!
"Not sure how I feel about it, it's indifferent.",neutral,not sure how i feel about it its indifferent
So satisfied! Exceeded my expectations. http://example.com,positive,so satisfied! exceeded my expectations
"Best experience ever, highly recommend to everyone.",positive,best experience ever highly recommend to everyone
Awful product. Do not buy!,negative,awful product do not buy!
"Absolutely wonderful, five stars. :)",positive,absolutely wonderful five stars
"I hate this, it's the worst purchase I've made.",negative,i hate this its the worst purchase ive made
"Absolutely wonderful, five stars.",positive,absolutely wonderful five stars
"I love the new product, it's fantastic and works great!",positive,i love the new product its fantastic and works great!
Awful product. Do not buy! http://example.com,negative,awful product do not buy!
Works as described.,neutral,works as described
Works as described.,neutral,works as described
Works as described.,neutral,works as described
"I love the new product, it's fantastic and works great!",positive,i love the new product its fantastic and works great!
Amazing service — I'm very happy with my purchase.,positive,amazing service im very happy with my purchase
"Terrible service, very disappointed.",negative,terrible service very disappointed
"One star, extremely poor quality.",negative,one star extremely poor quality
"Really bad experience, will never come back.",negative,really bad experience will never come back
"Check this out Really bad experience, will never come back.",negative,check this out really bad experience will never come back
Awful product. Do not buy!,negative,awful product do not buy!
"I hate this, it's the worst purchase I've made. :)",negative,i hate this its the worst purchase ive made
"I love the new product, it's fantastic and works great!",positive,i love the new product its fantastic and works great!
"One star, extremely poor quality. :)",negative,one star extremely poor quality
"Absolutely wonderful, five stars. http://example.com",positive,absolutely wonderful five stars
"Check this out Best experience ever, highly recommend to everyone. http://example.com",positive,check this out best experience ever highly recommend to everyone
"Check this out It's okay, nothing special about it.",neutral,check this out its okay nothing special about it
"I hate this, it's the worst purchase I've made.",negative,i hate this its the worst purchase ive made
"One star, extremely poor quality.",negative,one star extremely poor quality
"Absolutely wonderful, five stars. :)",positive,absolutely wonderful five stars
Check this out So satisfied! Exceeded my expectations. :),positive,check this out so satisfied! exceeded my expectations
"Not sure how I feel about it, it's indifferent. :)",neutral,not sure how i feel about it its indifferent
"One star, extremely poor quality. http://example.com",negative,one star extremely poor quality
"It's okay, nothing special about it.",neutral,its okay nothing special about it
"Average experience, neither good nor bad. :)",neutral,average experience neither good nor bad
"Terrible service, very disappointed.",negative,terrible service very disappointed
"Not sure how I feel about it, it's indifferent.",neutral,not sure how i feel about it its indifferent
"Absolutely wonderful, five stars. http://example.com",positive,absolutely wonderful five stars
"I hate this, it's the worst purchase I've made.",negative,i hate this its the worst purchase ive made
"Best experience ever, highly recommend to everyone.",positive,best experience ever highly recommend to everyone
"One star, extremely poor quality. :)",negative,one star extremely poor quality
"One star, extremely poor quality.",negative,one star extremely poor quality
"Terrible service, very disappointed.",negative,terrible service very disappointed
"Really bad experience, will never come back.",negative,really bad experience will never come back
"I love the new product, it's fantastic and works great!",positive,i love the new product its fantastic and works great!
"Check this out Best experience ever, highly recommend to everyone.",positive,check this out best experience ever highly recommend to everyone
So satisfied! Exceeded my expectations.,positive,so satisfied! exceeded my expectations
